Input_FID,FID_1,index,tile,confidence,diameter_k,res,lat,long,OBJECTID_2,OBJECTID,Shape_Leng,Unit,UnitDesc,SphArea_km,id,area,lat_1,Shape_Le_1,area_pol,Shape_Le_2,Shape_Area
"500","352154","6272",tile_2082_42_33,0.99963000000,0.20027000000,5m,0.63477541200,-177.36162670000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,15.26270000000,0.26247430855,0.00434403825
"516","352175","6276",tile_2084_42_35,0.99976800000,0.20275000000,5m,0.67141406400,-177.21590950000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,10.09850000000,0.23620486064,0.00287421160
"509","352167","62",tile_0003_2_2,0.99869600000,2.44576000000,160m,0.65314429100,-176.39258410000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,135.76900000000,0.82993725368,0.03864227104
"501","352156","6279",tile_2095_42_46,0.94603800000,0.11131000000,5m,0.63645783400,-176.28833030000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,22.53310000000,0.34935893691,0.00641331290
"510","352169","6282",tile_2097_42_48,0.87807900000,0.13919000000,5m,0.65838734700,-176.13091210000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,39.28990000000,0.48506390996,0.01118258907
"579","352246","3442",tile_1950_40_1,0.65522300000,0.14568000000,5m,0.80704851000,-175.93255560000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,91.64990000000,0.73804561613,0.02608514043
"592","352263","5838",tile_1997_40_48,0.70123800000,0.14151000000,5m,0.83183092600,-176.19010600000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,97.24820000000,0.65716039430,0.02767852808
"604","352277","5602",tile_1945_39_46,0.99383800000,0.35446000000,5m,0.85364535600,-176.34747790000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,90.41850000000,0.70951915958,0.02573465963
"557","352220","5834",tile_1984_40_35,0.88546200000,0.12542000000,5m,0.76136615200,-177.18478340000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,186.57300000000,1.09229839544,0.05310176444
"551","352213","6044",tile_2032_41_33,0.98621200000,0.13664000000,5m,0.75307490200,-177.34054990000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,15.22470000000,0.30830682347,0.00433320070
